at1,at2,at3,at4,at5,at6,at7,at8,at9
0,0,0,0,0,0,0,0,0.052323394
0,0,0,0,0,0,0,0,0.104646788
0,0,0.118778952,0,0,0.080254632,0,0,0.052323394
0,0,0,0,0.179282154,0,0,0,0
0,0,0,0,0,0,0,0,0.209293577
0,0,0.059389476,0,0.179282154,0.160509264,0,0,0.052323394
0,0,0.118778952,0,0,0,0,0,0.209293577
0,0,0.415726333,0,0.179282154,0.080254632,0.264298552,0,0.156970182
0,0.17812421,0.178168429,0,0.179282154,0,0.264298552,0.252027562,0.052323394
1.358746421,0,0.475115809,0.067142708,0.179282154,0.160509264,0.396447827,0,0.523233942
0,0,0.415726333,0.402856251,0.358564309,0.160509264,0.132149276,0,0.261616971
0,0,0.296947381,0.134285417,0.179282154,0.160509264,2.114388413,0.252027562,0.052323394
0,0,0.178168429,0.201428125,0.358564309,0.561782423,0.396447827,0.252027562,0.156970182
0,0,0.356336857,1.074283336,0.179282154,0.080254632,1.717940586,2.268248056,0.470910547
0.67937321,0.356248419,0.475115809,1.812853129,0.179282154,0.722291687,4.889523205,0.756082685,0.994144489
0.339686605,0.17812421,0.237557905,1.074283336,1.434257234,0.882800951,7.26821017,0.504055123,0.052323394
1.019059815,0,1.425347428,2.081423963,0.358564309,1.845856534,9.514747859,2.268248056,0.837174306
0,0.17812421,1.841073762,3.49142084,3.047796622,1.605092638,6.871762343,5.544606358,0.837174306
0,0.356248419,2.553747476,3.155707298,2.689232314,2.487893589,3.832328999,1.51216537,1.308084854
0.67937321,2.671863144,0.77206319,2.417137505,0.537846463,2.487893589,8.193255101,9.829074908,1.098791277
1.358746421,2.315614724,4.691768619,3.289992715,1.434257234,3.531203803,9.779046411,5.292578796,2.668493102
2.717492841,2.849987353,2.672526428,4.095705217,4.482053856,3.37069454,12.28988265,7.812854414,2.720816496
2.717492841,4.09685682,2.316189571,3.692848966,8.964107713,4.735023282,16.78295803,11.08921272,2.511522919
1.019059815,1.068745257,4.394821238,7.318555223,6.812721862,3.852222331,16.51865948,8.820964661,3.40102062
6.454045498,4.453105239,3.385200143,6.445700013,5.737028936,4.65476865,26.16555661,8.568937099,1.098791277
3.736552657,2.493738934,6.889179237,5.975701054,25.81663021,3.129930644,9.911195687,11.08921272,4.395165109
7.812791918,3.918732611,4.216652809,4.901417718,9.143389867,3.852222331,28.94069141,15.1216537,6.383454087
0.67937321,4.27498103,7.661242428,7.184269806,15.95611173,6.34011592,17.04725658,12.09732296,6.017190328
0.339686605,2.493738934,9.50231619,10.67569065,11.83262218,3.691713067,27.8834972,5.292578796,3.871931168
11.54934457,3.918732611,11.28400048,9.735692728,21.51385851,8.587245613,25.37266096,11.08921272,10.15073847
7.812791918,3.384359982,10.33376886,7.922839599,8.964107713,5.537569601,18.50089862,16.88584664,6.226483905
4.076239262,3.562484191,6.057726571,7.184269806,11.65334003,4.815277914,18.50089862,10.58515759,2.406876131
6.793732103,4.27498103,7.067347666,7.855696891,10.03980064,4.574514018,14.00782324,6.048661482,0.62788073
3.057179446,1.959366305,7.304905571,3.9614198,10.75692926,5.457314969,21.54033196,6.048661482,10.20306186
1.358746421,3.206235772,4.869937047,4.699989593,7.17128617,4.735023282,18.50089862,8.316909537,6.17416051
4.415925867,2.671863144,3.979094904,6.848556264,8.067696941,4.815277914,15.72576382,3.528385864,5.703249963
2.038119631,1.603117886,5.404442333,4.565704176,6.812721862,3.450949172,13.87567396,6.048661482,2.720816496
2.717492841,1.424993677,4.335431761,4.364276051,4.302771702,4.735023282,9.646897135,4.536496111,3.557990803
4.755612472,1.068745257,1.781684286,3.155707298,1.792821543,4.735023282,10.17549424,1.764192932,0.418587153
1.358746421,1.068745257,1.603515857,2.551422922,1.972103697,1.926111166,5.550269585,6.048661482,1.098791277
1.698433026,1.424993677,5.938947618,1.074283336,2.151385851,3.210185276,4.360926102,5.040551235,3.662637591
1.019059815,1.603117886,4.097873857,2.148566671,4.840618165,3.210185276,4.889523205,6.048661482,2.511522919
3.057179446,2.671863144,2.969473809,2.685708339,1.972103697,3.049676012,6.739613067,2.520275617,3.453344014
1.019059815,1.603117886,1.841073762,2.484280213,2.689232314,2.648402853,14.40427106,1.51216537,1.726672007
2.038119631,1.603117886,4.869937047,1.544282295,1.613539388,2.487893589,17.31155513,5.544606358,2.302229343
1.698433026,1.424993677,3.147642238,0.671427085,1.25497508,2.006365797,7.928956549,1.51216537,1.412731642
2.377806236,0.356248419,1.128400048,0.335713542,1.972103697,2.247129693,2.642985516,1.260137809,0.889497701
1.019059815,0.17812421,0.77206319,0.805712502,0.537846463,1.524838006,1.982239137,0.252027562,0.994144489
1.698433026,0.356248419,2.078631666,0.939997919,0.537846463,1.524838006,1.717940586,2.268248056,2.563846314
0.339686605,0.17812421,1.662905333,1.477139586,1.075692926,1.524838006,2.907284068,1.260137809,1.308084854
2.717492841,0,0.950231619,0.402856251,1.075692926,1.524838006,2.907284068,0.504055123,1.674348613
2.717492841,0.17812421,1.247179,1.275711461,0.717128617,1.043310215,0.528597103,0.504055123,1.465055036
1.358746421,0,0.415726333,0.335713542,0.717128617,0.642037055,0.925044931,0.756082685,1.151114671
1.019059815,0,0.296947381,0.268570834,0.896410771,0.481527791,0.792895655,0.252027562,0.837174306
2.038119631,0.356248419,1.069010571,0.537141668,0.179282154,0.802546319,0.528597103,1.260137809,0.732527518
1.019059815,0,0.831452667,0.268570834,0.358564309,0.481527791,1.321492758,0.504055123,1.569701825
1.019059815,0,1.128400048,0.268570834,0,1.28407411,1.189343482,0,1.25576146
0.339686605,0,0.415726333,0.738569793,0.358564309,0.802546319,0.660746379,0.252027562,1.203438066
0.339686605,0,0.831452667,0.469998959,0.358564309,0.561782423,2.114388413,0,1.622025219
0.339686605,0.356248419,0.356336857,0.067142708,0.358564309,1.444583374,1.58579131,0,1.046467883
0,0.17812421,0.178168429,0.134285417,0.717128617,0.963055583,0.132149276,0,0.62788073
1.019059815,0,0.534505286,0.335713542,0,0.802546319,0.528597103,0.252027562,1.988288978
0,0,0.593894762,0.201428125,0.179282154,0.321018528,0.660746379,0.504055123,1.360408248
0.67937321,0,0.950231619,0.134285417,0,0.401273159,0.660746379,0,1.622025219
0.67937321,0,0.356336857,0.067142708,0.179282154,0.642037055,0.396447827,0.252027562,1.674348613
0.339686605,0,0.475115809,0.067142708,0,0.321018528,0,0,1.203438066
0.339686605,0,0.059389476,0,0.179282154,0.160509264,0.264298552,0.252027562,1.046467883
0,0,0.059389476,0.134285417,0,0.080254632,0.264298552,0,0.261616971
0.339686605,0,0.237557905,0,0,0.240763896,0.396447827,0,0.994144489
0.339686605,0.17812421,0.77206319,0.067142708,0.179282154,0.321018528,0.660746379,0,1.517378431
0,0,0.653284238,0.201428125,0,0.642037055,0.396447827,0,1.098791277
0,0,0.356336857,0.067142708,0,0.321018528,0.264298552,0,1.25576146
