Datum,Faelle
23.06.2021,49
22.06.2021,57
21.06.2021,31
20.06.2021,64
19.06.2021,42
18.06.2021,63
17.06.2021,53
16.06.2021,90
15.06.2021,85
14.06.2021,62
13.06.2021,36
12.06.2021,99
11.06.2021,68
10.06.2021,97
09.06.2021,89
08.06.2021,103
07.06.2021,70
06.06.2021,73
05.06.2021,86
04.06.2021,69
03.06.2021,96
02.06.2021,44
01.06.2021,146
31.05.2021,38
30.05.2021,43
29.05.2021,65
28.05.2021,86
27.05.2021,119
26.05.2021,105
25.05.2021,56
24.05.2021,114
23.05.2021,65
22.05.2021,111
21.05.2021,100
20.05.2021,116
19.05.2021,111
18.05.2021,197
17.05.2021,103
16.05.2021,80
15.05.2021,183
14.05.2021,90
13.05.2021,185
12.05.2021,178
11.05.2021,276
10.05.2021,164
09.05.2021,169
08.05.2021,223
07.05.2021,163
06.05.2021,265
05.05.2021,255
04.05.2021,427
03.05.2021,198
02.05.2021,206
01.05.2021,346
30.04.2021,345
29.04.2021,480
28.04.2021,447
27.04.2021,573
26.04.2021,328
25.04.2021,322
24.04.2021,371
23.04.2021,430
22.04.2021,536
21.04.2021,686
20.04.2021,603
19.04.2021,416
18.04.2021,605
17.04.2021,440
16.04.2021,605
15.04.2021,634
14.04.2021,682
13.04.2021,991
12.04.2021,596
11.04.2021,467
10.04.2021,505
09.04.2021,930
08.04.2021,560
07.04.2021,990
06.04.2021,744
05.04.2021,567
04.04.2021,679
03.04.2021,527
02.04.2021,1033
01.04.2021,788
31.03.2021,1006
30.03.2021,948
29.03.2021,670
28.03.2021,873
27.03.2021,779
26.03.2021,1005
25.03.2021,825
24.03.2021,934
23.03.2021,904
22.03.2021,706
21.03.2021,706
20.03.2021,755
19.03.2021,787
18.03.2021,874
17.03.2021,971
16.03.2021,927
15.03.2021,838
14.03.2021,535
13.03.2021,539
12.03.2021,633
11.03.2021,900
10.03.2021,808
09.03.2021,538
08.03.2021,637
07.03.2021,583
06.03.2021,709
05.03.2021,448
04.03.2021,673
03.03.2021,619
02.03.2021,588
01.03.2021,493
28.02.2021,283
27.02.2021,436
26.02.2021,779
25.02.2021,428
24.02.2021,561
23.02.2021,544
22.02.2021,426
21.02.2021,246
20.02.2021,394
19.02.2021,468
18.02.2021,327
17.02.2021,413
16.02.2021,388
15.02.2021,348
14.02.2021,245
13.02.2021,231
12.02.2021,278
11.02.2021,465
10.02.2021,388
09.02.2021,224
08.02.2021,230
07.02.2021,155
06.02.2021,316
05.02.2021,232
04.02.2021,213
03.02.2021,283
02.02.2021,265
01.02.2021,231
31.01.2021,223
30.01.2021,250
29.01.2021,272
28.01.2021,286
27.01.2021,265
26.01.2021,307
25.01.2021,249
24.01.2021,147
23.01.2021,244
22.01.2021,217
21.01.2021,312
20.01.2021,333
19.01.2021,256
18.01.2021,302
17.01.2021,126
16.01.2021,230
15.01.2021,281
14.01.2021,352
13.01.2021,277
12.01.2021,403
11.01.2021,363
10.01.2021,259
09.01.2021,296
08.01.2021,336
07.01.2021,381
06.01.2021,304
05.01.2021,472
04.01.2021,386
03.01.2021,229
02.01.2021,208
01.01.2021,265
31.12.2020,325
30.12.2020,386
29.12.2020,436
28.12.2020,384
27.12.2020,275
26.12.2020,210
25.12.2020,237
24.12.2020,292
23.12.2020,414
22.12.2020,394
21.12.2020,384
20.12.2020,214
19.12.2020,210
18.12.2020,391
17.12.2020,362
16.12.2020,373
15.12.2020,484
14.12.2020,365
13.12.2020,300
12.12.2020,402
11.12.2020,451
10.12.2020,529
09.12.2020,540
08.12.2020,512
07.12.2020,479
06.12.2020,404
05.12.2020,399
04.12.2020,494
03.12.2020,570
02.12.2020,582
01.12.2020,604
30.11.2020,679
29.11.2020,396
